Price,Sea,Area,Elevation,Sewer,Days,Flood,Distance
4.50,1,138.40,10,3000,-103,0,0.30
10.60,1,52.00,4,0,-103,0,2.50
1.70,0,16.10,0,2640,-98,1,10.30
5.00,0,1695.20,1,3500,-93,0,14.00
5.00,0,845.00,1,1000,-92,1,14.00
3.30,1,6.90,2,10000,-86,0,0.00
5.70,1,105.90,4,0,-68,0,0.00
6.20,1,56.60,4,0,-64,0,0.00
19.40,1,51.40,20,1300,-63,0,1.20
3.20,1,22.10,0,6000,-62,0,0.00
4.70,1,22.10,0,6000,-61,0,0.00
6.90,1,27.70,3,4500,-60,0,0.00
8.10,1,18.60,5,5000,-59,0,0.50
11.60,1,69.90,8,0,-59,0,4.40
19.30,1,145.70,10,0,-59,0,4.20
11.70,1,77.20,9,0,-59,0,4.50
13.30,1,26.20,8,0,-59,0,4.70
15.10,1,102.30,6,0,-59,0,4.90
12.40,1,49.50,11,0,-59,0,4.60
15.30,1,12.20,8,0,-59,0,5.00
12.20,0,320.60,0,4000,-54,0,16.50
18.10,1,9.90,5,0,-54,0,5.20
16.80,1,15.30,2,0,-53,0,5.50
5.90,0,55.20,0,1320,-49,1,11.90
4.00,0,116.20,2,900,-45,1,5.50
37.20,0,15.00,5,0,-39,0,7.20
18.20,0,23.40,5,4420,-39,0,5.50
15.10,0,132.80,2,2640,-35,0,10.20
22.90,0,12.00,5,3400,-16,0,5.50
15.20,0,67.00,2,900,-5,1,5.50
21.90,0,30.80,2,900,-4,0,5.50
